City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
Istanbul	Topkapı Palace Library	6575 Revan Köşk 1062 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first vol. of (probably) two)		717/1317						Catalogue			
Istanbul	Topkapı Palace Library	6576 E. H. 1684	Rasāʾil ikhwān al-ṣafāʾ 	Full								Catalogue			
Istanbul	Topkapı Palace Library	6577 E. H. 1686 	Rasāʾil ikhwān al-ṣafāʾ 	Full		1161/1748					ʿĀrif b. ʿAlī al-Ḥalabī	Catalogue			
Istanbul	Topkapı Palace Library	6578 Ahmet III 3258/2 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (second qism)								Catalogue	Bayezid II Seal		
Istanbul 	Beyazit	B3948	Rasāʾil ikhwān al-ṣafāʾ 	Full								Vidi (Scan)			
Istanbul 	Beyazit	B4003	Rasāʾil ikhwān al-ṣafāʾ 	Partial (parts of qism 1 and 2)								Vid (Scan)			
Istanbul 	İstanbul Üniversitesi Merkez Kütüphanesi	NEKFY 00401	Mujmal al-ḥikma	Full?	Persian			Before 1125/1713-4				Vidi (Scan)		december 2023	
Istanbul 	Millet Library	34 Ae Arabi 950 	Rasāʾil ikhwān al-ṣafāʾ 	Full?								Yazmalar			
Istanbul 	Millet Library	Feyzullah 2130 and 2131	Rasāʾil ikhwān al-ṣafāʾ 	Full (two volumes)		704/1304					Ali b. Musa b. Umrân	Vidi (Scan)			
Istanbul 	Nuruosmaniye	Nuruosmaniye 2683		?								Vidi (Scan)			
Istanbul 	Nuruosmaniye	Nuruosmaniye 2951		Extract in majmūʿa				12th.18th C		Karbala		Vidi (Scan)			
Istanbul 	Ragıp Paşa	Ragıp Paşa 839	Rasāʾil ikhwān al-ṣafāʾ 	Full								Vidi (Scan)			
Istanbul 	Süleymaniye	Amcazade Hüseyin Paşa 452	Rasāʾil ikhwān al-ṣafāʾ 	Partial (most of qism 1)	Arabic							Vidi (Scan) 			
Istanbul 	Süleymaniye	Atif Efendi 1681	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic	578/1182				Shammākhiyya	Mawdūd b. 'Uthmān b. 'Umar al-ṭabīb al-Shirwānī	Vidi (Scan)			
Istanbul 	Süleymaniye	Ayasofya 3768	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 3 and 4.	Arabic							Vidi (Scan)			
Istanbul 	Süleymaniye	Carullah 1638	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic							Vidi (Scan)			
Istanbul 	Süleymaniye	Carullah 2107	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic			pre-880AH				Vidi (Scan)			
Istanbul 	Süleymaniye	Carullah 982	Rasāʾil ikhwān al-ṣafāʾ 	Partial	Arabic							Vidi (Scan)			
Istanbul 	Süleymaniye	Esad Efendi 1191		al-Risāla al-ʿayniyya fī al-Ḥikma al-ḥaqīqiyya by al-Bihishtī (d. 749		741/1340-1						Vidi (Scan)			
Istanbul 	Süleymaniye	Esad Efendi 3636 		Extract in majmūʿa (TBC)								Vidi (Scan)			
Istanbul 	Süleymaniye	Esad Efendi 3637	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic			7th/13th C				Vidi (Scan)			
Istanbul 	Süleymaniye	Esad Efendi 3638	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic	686/1287				Baghdad	Buzurgmihr b. Muḥammad al-Ṭūsī	Vidi (Scan)			
Istanbul 	Süleymaniye	Fatih 3178	Mujmal al-ḥikmat	Full	Persian	645/1247					Abū ʿAbdallāh Muḥammad b. Muḥammad b. ʿAlī al-kātib Ibn al-Khafāf taʿrīfan al-Nakhjuwānī	Vidi (Scan)			
Istanbul 	Süleymaniye	Hamidiye 1440	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala fi mahiyyat al-tabi'iyyat)								Vidi (Scan)			
Istanbul 	Süleymaniye	Hamidiye 1444 	Rasāʾil ikhwān al-ṣafāʾ 	Full		1161/1748				Jerusalem	ʿAbdallāh al-Faytānī imam in al-Ṣakhra al-Mashriqa	Vidi (Scan)			
Istanbul 	Süleymaniye	Hazreti Nasuhi Dergahı 189		Personal mukhtasar of Epistles (TBC)								Vidi (Scan)			
Istanbul 	Süleymaniye	Hüsrev Pasha 251	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risalat al-hay'a)						Maghreb		Vidi (Scan)			
Istanbul 	Süleymaniye	Laleli 3639 	Mukhtaṣar 	By Dāwud al-ṭabīb		1109/1697					Muḥammad b. ʿAbdallāh b. Muḥammad b. Jumʿāʾ al-Hindī.	Vid (Scan)			
Istanbul 	Süleymaniye	şehid Ali Paşa 2785	Rasāʾil ikhwān al-ṣafāʾ 	Partial (eight rasa'il)								Vidi (Scan)			
Istanbul 	Süleymaniye	Yeni Cami 1199	Rasāʾil ikhwān al-ṣafāʾ 	Full		887/1482				Mecca		Vidi (Scan)			
Istanbul 	Topkapı Palace Library	6579 Ahmet III 2128	Rasāʾil ikhwān al-ṣafāʾ 	Partial (third qism)								Catalogue	Bayezid II Seal + 		
Jounieh 	Ordre Basilien Alepin	MS 363	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in Christian (!) majmūʿa				11th/17th C				Vidi (Scan)			
Kabul	Kabul Museum Library 	MS 143 (56)	Rasāʾil ikhwān al-ṣafāʾ 	Full copy?								Catalogue			
Kāshān 	Riḍāwī	MS 70	Mujmal al-ḥikma	Full?				11th/17th C				Catalogue		May 2023	
Kastamonu	İl Halk Kütüphanesi	37 Hk 2190/6 	Rasāʾil ikhwān al-ṣafāʾ 	Full? (but included in majmu'a)		1234/1817				Istanbul	Mehmed Halis b. Ahmed	Vidi (Scanà	Dedicated to Şeyh Ahmet Siyahî Kütüphanesi		
Kayseri	Raşit Efendi Yazma Eser Kütüphanesi	MS 865	Rasāʾil ikhwān al-ṣafāʾ 	Full				mid-9th/15th C		Istanbul?		Vidi (scan)	Dedicated to sultan Mehmed b. Murad		
Kerbala	al-Rawḍa al-Ḥusayniyya Library	389m-9055ḥ	Risālat al-jāmiʿa 	Full?		1037/1627-8					Muḥammad	NLAI			
Kerbala	Dār al-makhṭūṭāt al-ʿataba al-Ḥusayniyya 	MS 5494	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.8-end)	Arabic							Vidi (Scan)		March 2024	
Khānsār 	Kitābkhāne Fāḍil Khānsārī	MS 221		Single epistle in majmu'a				13th/19th C			Mullā Muḥammad Taqī Golpāygānī	Catalogue		June 2023	
Konya	İzzet Koyunoğlu Şehir Müzesi 	MS Film 960 (?)	Mujmal al-ḥikma	Full copy?								Danishpazhuh ed.			
Konya	Mevlana müzesi	MS 5707	Mujmal al-ḥikma	Full copy?				late 7th/8th C		Saljuq Anatolia		NLAI			
Kuwayt 	Kuwayt University	MS 874	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 3 & 4)								Catalogue			
Lahore	Punjab University Library 	Muḥammad Shafīʿ Lahūrī 244/79	Mujmal al-ḥikma		Persian	1014/1605-6					Saʿd Allāh	Danishpazhuh ed.			
Leeds	Leeds University Library	MS 25	Rasāʾil ikhwān al-ṣafāʾ 	Full				late 17th/early18th C				Catalogue			
Leiden	Universiteitsbibliotheek	Or. 444	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Rasāʾil 25-51)								Catalogue			
London	British Library	Add. 9599	Rasāʾil ikhwān al-ṣafāʾ 	27th extract in majmūʿa, in fact attributed to Ibn Sīna		1221/1806						Vidi / ISMI			
London	British Library	IO Islamic 824	Rasāʾil ikhwān al-ṣafāʾ 	Extract in from Risala on Music in Majmu'a		1134/1722				Gujarat?	Aḥmad ibn Sulaymān Ghūjārātī	Vidi (Scan)			
London	British Library	No. 99? (TBC)	Mujmal al-ḥikma	Full?		845/						Danishpazhuh ed.			
London	British Library	Or. 2358-9	Rasāʾil ikhwān al-ṣafāʾ 	Full		1088/1677				India?	Muḥammad ʿAbd al-Raḥmān Buhārī (only 3a-10b of vol. 1)	Vidi / Ali-de-Unzaga			
London	British Library	Or. 4518	Rasāʾil ikhwān al-ṣafāʾ 	Full		1096/1683				Oman? 		Vidi / Ali-de-Unzaga	Endowed by sultan of Oman Ahmad bin Said al-Busaidi (d. 1783)		
London	British Library	Or. 6692	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.2, 3.6-4.3)		646/1248-9						Vidi			
London	British Library	Or. 8254	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.7-3.9)		644/1247-8						Vidi			
London	British Library	Or. 8372 	Mujmal al-ḥikmat 	Full		1012/1603-4					Mīr Sohrab b. Jawānī Afandī 	Vidi			
London	Institute of Ismaili Studies 	Hamdani MS 1482 (Handlist 5)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 4)		1126/1714					Ādam b. Mullā Najm Khān b. Aḥmad	Vidi (Scan)			
